customer_id,full_name,country,segment,signup_date
C0061,Cliente 0061,PT,consumer,2023-03-01
C0062,Cliente 0062,FR,vip,2023-03-22
C0063,Cliente 0063,ES,vip,2024-05-12
C0064,Cliente 0064,ES,vip,2023-05-09
C0065,Cliente 0065,FR,vip,2024-05-01
C0066,Cliente 0066,IT,consumer,2023-09-29
C0067,Cliente 0067,IT,vip,2024-03-09
C0068,Cliente 0068,FR,vip,2023-07-25
C0069,Cliente 0069,PT,corporate,2024-01-18
C0070,Cliente 0070,DE,vip,2024-04-07
C0071,Cliente 0071,ES,consumer,2023-08-19
C0072,Cliente 0072,ES,corporate,2023-01-22
C0073,Cliente 0073,IT,vip,2023-08-24
C0074,Cliente 0074,IT,consumer,2023-01-08
C0075,Cliente 0075,ES,vip,2023-03-02
C0076,Cliente 0076,FR,consumer,2023-02-02
C0077,Cliente 0077,PT,consumer,2024-06-10
C0078,Cliente 0078,FR,corporate,2024-05-12
C0079,Cliente 0079,FR,vip,2023-05-16
C0080,Cliente 0080,IT,vip,2024-04-29
C0081,Cliente 0081,FR,corporate,2024-02-21
C0082,Cliente 0082,FR,consumer,2023-04-10
C0083,Cliente 0083,DE,corporate,2024-03-09
C0084,Cliente 0084,DE,corporate,2023-02-25
C0085,Cliente 0085,ES,consumer,2024-02-17
C0086,Cliente 0086,PT,consumer,2023-09-12
C0087,Cliente 0087,FR,consumer,2024-07-03
C0088,Cliente 0088,DE,consumer,2024-03-08
C0089,Cliente 0089,FR,corporate,2024-04-18
C0090,Cliente 0090,FR,consumer,2024-03-29
C0091,Cliente 0091,IT,consumer,2023-02-21
C0092,Cliente 0092,IT,consumer,2023-04-06
C0093,Cliente 0093,FR,consumer,2024-02-21
C0094,Cliente 0094,DE,corporate,2023-08-07
C0095,Cliente 0095,DE,consumer,2023-06-18
C0096,Cliente 0096,DE,consumer,2024-02-04
C0097,Cliente 0097,PT,corporate,2023-10-20
C0098,Cliente 0098,DE,vip,2024-07-23
C0099,Cliente 0099,DE,consumer,2023-07-14
C0100,Cliente 0100,PT,consumer,2023-03-01
C0101,Cliente 0101,IT,vip,2024-07-09
C0102,Cliente 0102,ES,vip,2023-11-18
C0103,Cliente 0103,ES,consumer,2024-08-21
C0104,Cliente 0104,DE,vip,2024-06-27
C0105,Cliente 0105,FR,consumer,2024-06-04
C0106,Cliente 0106,ES,consumer,2023-03-12
C0107,Cliente 0107,IT,consumer,2023-08-29
C0108,Cliente 0108,DE,consumer,2024-08-06
C0109,Cliente 0109,FR,vip,2023-02-10
C0110,Cliente 0110,IT,consumer,2024-03-05
C0111,Cliente 0111,IT,vip,2024-06-19
C0112,Cliente 0112,PT,corporate,2023-07-29
C0113,Cliente 0113,PT,consumer,2023-09-29
C0114,Cliente 0114,DE,consumer,2023-11-04
C0115,Cliente 0115,DE,corporate,2023-03-16
C0116,Cliente 0116,ES,corporate,2024-07-30
C0117,Cliente 0117,ES,consumer,2024-07-04
C0118,Cliente 0118,FR,vip,2023-09-29
C0119,Cliente 0119,FR,corporate,2023-03-12
C0120,Cliente 0120,FR,corporate,2023-10-19
C0121,Cliente 0121,FR,corporate,2024-07-10
C0122,Cliente 0122,PT,vip,2024-06-25
C0123,Cliente 0123,ES,vip,2024-07-21
C0124,Cliente 0124,PT,vip,2023-04-17
C0125,Cliente 0125,FR,corporate,2023-04-29
C0126,Cliente 0126,ES,vip,2024-07-20
C0127,Cliente 0127,FR,corporate,2023-10-16
C0128,Cliente 0128,IT,consumer,2023-12-18
C0129,Cliente 0129,FR,vip,2023-09-28
C0130,Cliente 0130,IT,corporate,2023-09-15
C0131,Cliente 0131,ES,consumer,2024-03-09
C0132,Cliente 0132,PT,consumer,2023-01-04
C0133,Cliente 0133,PT,consumer,2023-09-26
C0134,Cliente 0134,FR,vip,2024-03-28
C0135,Cliente 0135,IT,vip,2024-03-13
C0136,Cliente 0136,IT,consumer,2023-04-25
C0137,Cliente 0137,ES,vip,2023-06-02
C0138,Cliente 0138,IT,consumer,2024-01-14
C0139,Cliente 0139,IT,vip,2023-06-01
C0140,Cliente 0140,DE,consumer,2023-02-12
C0141,Cliente 0141,PT,corporate,2023-02-10
C0142,Cliente 0142,PT,consumer,2023-09-13
C0143,Cliente 0143,ES,corporate,2024-07-27
C0144,Cliente 0144,DE,vip,2023-06-08
C0145,Cliente 0145,FR,consumer,2023-07-01
C0146,Cliente 0146,DE,consumer,2023-07-03
C0147,Cliente 0147,PT,corporate,2023-09-12
C0148,Cliente 0148,PT,consumer,2023-04-21
C0149,Cliente 0149,DE,consumer,2024-04-26
C0150,Cliente 0150,FR,consumer,2024-04-16
C0151,Cliente 0151,PT,corporate,2023-08-22
C0152,Cliente 0152,FR,consumer,2023-07-17
C0153,Cliente 0153,DE,corporate,2023-10-13
C0154,Cliente 0154,ES,corporate,2023-12-26
C0155,Cliente 0155,IT,corporate,2024-07-03
C0156,Cliente 0156,PT,consumer,2023-04-29
C0157,Cliente 0157,PT,consumer,2024-08-17
C0158,Cliente 0158,PT,consumer,2023-04-22
C0159,Cliente 0159,IT,corporate,2023-12-20
C0160,Cliente 0160,PT,corporate,2024-06-07
C0161,Cliente 0161,ES,corporate,2024-08-13
C0162,Cliente 0162,FR,corporate,2023-02-15
C0163,Cliente 0163,DE,consumer,2024-06-16
C0164,Cliente 0164,IT,vip,2023-07-21
C0165,Cliente 0165,PT,corporate,2023-03-13
C0166,Cliente 0166,PT,vip,2023-11-18
C0167,Cliente 0167,ES,vip,2023-11-04
C0168,Cliente 0168,IT,corporate,2024-02-23
C0169,Cliente 0169,PT,corporate,2023-10-30
C0170,Cliente 0170,IT,consumer,2023-07-16
C0171,Cliente 0171,DE,vip,2024-01-24
C0172,Cliente 0172,FR,vip,2024-08-05
C0173,Cliente 0173,PT,corporate,2024-07-15
C0174,Cliente 0174,ES,corporate,2023-10-21
C0175,Cliente 0175,FR,corporate,2024-08-16
C0176,Cliente 0176,IT,vip,2023-11-26
C0177,Cliente 0177,DE,corporate,2024-03-28
C0178,Cliente 0178,FR,vip,2024-04-29
C0179,Cliente 0179,FR,vip,2023-03-28
C0180,Cliente 0180,PT,vip,2023-12-10
C0181,Cliente 0181,ES,consumer,2023-11-14
C0182,Cliente 0182,FR,consumer,2023-05-31
C0183,Cliente 0183,ES,consumer,2023-09-08
C0184,Cliente 0184,DE,vip,2023-03-16
C0185,Cliente 0185,DE,corporate,2024-08-12
C0186,Cliente 0186,FR,vip,2024-01-29
C0187,Cliente 0187,DE,corporate,2023-09-07
C0188,Cliente 0188,FR,vip,2023-01-06
C0189,Cliente 0189,ES,corporate,2023-08-13
C0190,Cliente 0190,FR,vip,2024-06-14
C0191,Cliente 0191,DE,consumer,2024-07-24
C0192,Cliente 0192,FR,consumer,2024-04-12
C0193,Cliente 0193,FR,corporate,2024-06-27
C0194,Cliente 0194,IT,vip,2023-11-21
C0195,Cliente 0195,DE,vip,2024-05-31
C0196,Cliente 0196,DE,vip,2024-04-01
C0197,Cliente 0197,FR,vip,2024-05-01
C0198,Cliente 0198,DE,corporate,2023-09-11
C0199,Cliente 0199,PT,vip,2024-05-11
C0200,Cliente 0200,FR,corporate,2024-03-26
C0201,Cliente 0201,ES,vip,2023-10-20
C0202,Cliente 0202,FR,corporate,2023-12-10
C0203,Cliente 0203,PT,vip,2023-03-24
C0204,Cliente 0204,FR,consumer,2023-08-25
C0205,Cliente 0205,DE,vip,2023-06-06
C0206,Cliente 0206,FR,consumer,2024-02-29
C0207,Cliente 0207,DE,corporate,2024-07-09
C0208,Cliente 0208,DE,corporate,2023-03-05
C0209,Cliente 0209,FR,corporate,2024-02-03
C0210,Cliente 0210,IT,vip,2023-01-21
C0211,Cliente 0211,IT,corporate,2024-05-03
C0212,Cliente 0212,ES,corporate,2023-11-02
C0213,Cliente 0213,DE,corporate,2024-07-05
C0214,Cliente 0214,IT,vip,2023-08-14
C0215,Cliente 0215,DE,consumer,2023-10-07
C0216,Cliente 0216,DE,corporate,2023-01-30
C0217,Cliente 0217,DE,corporate,2024-02-19
C0218,Cliente 0218,FR,corporate,2023-05-11
C0219,Cliente 0219,IT,vip,2023-01-28
C0220,Cliente 0220,DE,vip,2024-07-31
C0221,Cliente 0221,ES,consumer,2024-03-14
C0222,Cliente 0222,FR,corporate,2023-07-06
C0223,Cliente 0223,ES,corporate,2024-01-24
C0224,Cliente 0224,PT,consumer,2024-04-10
C0225,Cliente 0225,PT,corporate,2024-01-24
C0226,Cliente 0226,PT,corporate,2023-09-16
C0227,Cliente 0227,ES,corporate,2023-01-20
C0228,Cliente 0228,IT,consumer,2023-12-25
C0229,Cliente 0229,FR,vip,2023-03-12
C0230,Cliente 0230,ES,consumer,2023-09-11
C0231,Cliente 0231,FR,consumer,2023-06-06
C0232,Cliente 0232,FR,consumer,2024-04-29
C0233,Cliente 0233,ES,vip,2023-08-12
C0234,Cliente 0234,DE,vip,2023-09-20
C0235,Cliente 0235,PT,consumer,2023-04-28
C0236,Cliente 0236,FR,corporate,2023-04-21
C0237,Cliente 0237,IT,consumer,2023-11-16
C0238,Cliente 0238,IT,vip,2024-01-20
C0239,Cliente 0239,DE,vip,2023-07-23
C0240,Cliente 0240,ES,vip,2023-09-06
C0241,Cliente 0241,ES,vip,2023-11-05
C0242,Cliente 0242,IT,consumer,2024-08-02
C0243,Cliente 0243,ES,corporate,2024-06-29
C0244,Cliente 0244,DE,vip,2024-01-15
C0245,Cliente 0245,ES,vip,2023-12-16
C0246,Cliente 0246,ES,corporate,2024-05-16
C0247,Cliente 0247,ES,corporate,2024-01-06
C0248,Cliente 0248,DE,vip,2023-06-06
C0249,Cliente 0249,DE,consumer,2024-06-18
C0250,Cliente 0250,PT,vip,2024-07-05
