order_id,product_id,qty,unit_price,discount
O00039,P056,4,134.80,0.05
O00040,P056,2,38.64,0.00
O00041,P027,5,223.74,0.05
O00041,,3,216.28,0.00
O00041,P050,1,124.45,0.15
O00042,P021,1,6.14,0.00
O00042,P014,2,146.18,0.00
O00043,P051,1,36.69,0.05
O00043,P041,4,103.82,0.05
O00043,P025,1,14.23,0.00
O00043,P047,3,237.76,0.00
O00044,P002,1,158.53,0.00
O00044,P015,3,81.45,0.00
O00045,P033,5,79.99,0.00
O00045,P053,1,78.05,0.00
O00045,P030,5,151.10,0.00
O00045,P028,2,88.96,0.05
O00046,P049,2,45.39,0.20
O00046,P026,1,60.95,0.15
O00046,P999,2,184.84,0.10
O00047,P008,3,179.21,0.20
O00047,P003,4,219.74,0.00
O00048,P039,1,167.17,0.15
O00049,P004,1,107.10,0.05
O00050,P036,3,121.22,0.00
O00051,P045,1,78.76,0.15
O00051,P007,5,71.13,0.10
O00052,P027,1,130.33,0.10
O00052,P008,3,32.92,0.00
O00053,P013,5,53.93,0.00
O00053,P054,5,243.40,0.00
O00053,P046,4,77.35,0.00
O00053,P036,4,228.03,0.15
O00054,P022,2,5.66,0.15
O00054,P006,1,209.62,0.15
O00054,P032,2,237.60,0.20
O00054,P033,1,182.26,0.00
O00055,P042,0,116.89,0.00
O00055,P017,4,17.26,0.20
O00055,P012,1,213.79,0.00
O00056,P028,1,28.26,0.20
O00056,P057,1,7.36,0.00
O00056,P043,2,85.51,0.05
O00057,P057,1,96.28,0.00
O00057,P012,1,103.18,0.05
O00057,P018,4,174.02,0.05
O00058,P042,2,32.69,0.15
O00058,P047,1,245.47,0.20
O00058,P011,1,106.92,0.10
O00058,P031,5,171.20,0.00
O00059,P050,3,154.77,0.20
O00059,P044,2,123.34,0.05
O00059,P008,4,112.96,0.00
O00059,P017,3,8.02,0.20
O00060,P043,3,132.17,0.15
O00060,P045,5,28.32,0.15
O00061,P031,3,167.60,0.15
O00061,P025,2,210.55,1.50
O00062,P001,2,128.85,0.05
O00063,P056,2,23.33,0.05
O00063,P021,2,86.06,0.00
O00063,P004,5,59.55,0.15
O00063,P025,4,205.18,0.00
O00064,P029,5,114.77,0.20
O00064,P032,4,82.43,0.05
O00064,P048,1,30.14,0.05
O00064,P003,5,139.52,0.20
O00065,P051,5,240.97,0.15
O00066,P057,5,142.76,0.15
O00066,P043,4,237.83,0.00
O00066,P053,1,205.05,0.20
O00067,P022,5,193.01,0.10
O00067,P031,3,180.39,0.00
O00067,P007,2,5.53,0.00
O00067,P054,3,139.17,0.00
O00068,P003,2,125.63,0.20
O00069,P007,3,154.65,0.00
O00069,P008,4,57.81,0.20
O00069,P051,2,180.60,0.00
O00069,P049,4,16.38,0.15
O00070,P050,4,117.05,0.10
O00071,P032,1,134.93,0.00
O00071,P036,4,210.50,0.05
O00072,P045,5,47.53,0.20
O00072,P009,1,99.90,0.10
O00073,P033,4,107.56,0.10
O00073,P059,2,72.02,0.00
O00073,P019,4,202.17,0.00
O00074,P039,5,78.22,0.15
O00074,P036,3,179.40,0.10
O00074,P041,2,54.21,0.10
O00074,P046,3,173.21,0.15
O00075,P046,2,128.44,0.15
O00075,P041,3,179.03,0.20
O00076,P036,4,147.78,0.15
O00076,P046,4,170.18,0.20
O00076,P035,3,219.97,0.05
O00077,P034,1,11.18,0.00
O00078,P043,1,53.97,0.20
O00079,P019,3,40.86,0.00
O00079,,3,54.97,0.10
O00080,P023,4,30.10,0.20
O00081,P048,5,100.27,0.10
O00081,P051,3,174.76,0.00
O00082,P025,4,239.38,0.15
O00082,P021,5,18.17,0.15
O00082,P017,2,157.03,0.20
O00082,P056,4,208.34,0.15
O00083,P049,5,138.91,0.10
O00083,P013,2,77.06,0.00
O00083,P044,1,50.80,0.00
O00084,P025,1,109.97,0.10
O00085,P009,2,148.07,0.00
O00085,P001,3,119.24,0.00
O00085,P003,2,232.50,0.10
O00086,P050,5,211.56,0.00
O00087,P051,5,139.78,0.00
O00087,P051,3,133.71,0.00
O00087,P034,1,197.62,0.00
O00087,P027,5,136.56,0.00
O00088,P015,2,167.51,0.00
O00088,P024,3,58.51,0.20
O00088,P040,5,121.33,0.10
O00089,P008,3,114.18,0.15
O00090,P003,3,98.43,0.20
O00090,P008,4,67.85,0.15
O00091,P002,5,206.41,0.00
O00091,P033,5,114.15,0.00
O00091,P019,2,83.47,0.00
O00092,P011,5,135.63,0.15
O00093,P014,2,216.90,0.05
O00094,P014,5,208.03,0.15
O00095,P999,1,187.98,0.00
O00095,P002,4,180.62,0.00
O00095,P006,1,18.29,0.20
O00095,P017,5,22.25,0.20
O00096,P059,3,104.86,0.05
O00096,P041,4,111.08,0.00
O00097,P044,1,136.02,0.15
O00097,P047,5,20.48,0.15
O00097,P038,1,176.71,0.00
O00097,P023,5,30.99,0.20
O00098,P039,1,73.96,0.05
O00098,P025,4,206.41,0.00
O00098,P031,2,135.69,0.00
O00099,P051,5,77.26,0.15
O00099,P010,3,170.93,0.20
O00099,P056,3,239.55,0.00
O00099,P036,5,39.63,0.00
O00100,P037,5,101.54,0.10
O00101,P020,2,188.32,0.15
O00102,P014,4,226.87,0.20
O00102,P033,2,44.42,0.00
O00102,P040,3,52.60,0.00
O00103,P055,5,118.00,0.10
O00104,P019,1,66.41,0.00
O00105,P022,3,36.40,0.15
O00105,P016,1,74.85,0.00
O00105,P058,2,82.85,0.05
O00105,P022,5,166.55,0.15
O00106,P037,5,94.29,0.00
O00106,P028,2,6.17,0.00
O00107,P046,4,72.78,0.00
O00107,P009,3,220.07,0.05
O00108,P023,3,124.30,0.00
O00108,P012,5,25.07,0.00
O00108,P055,2,223.36,0.00
O00108,P017,1,183.21,0.00
O00109,P053,0,146.82,0.20
O00110,P059,1,140.13,0.10
O00110,P058,5,120.66,0.20
O00111,P024,4,59.70,0.20
O00111,P038,3,37.79,0.10
O00112,P026,3,128.02,0.15
O00113,P055,5,172.61,0.20
O00113,P033,2,114.31,0.00
O00114,P048,4,235.09,0.00
O00114,P015,4,61.77,0.00
O00115,P015,1,168.79,0.10
O00115,P059,3,100.07,0.05
O00115,P057,1,14.77,0.15
O00116,P007,5,160.21,0.00
O00116,P054,3,146.75,0.10
O00116,P012,4,165.14,0.00
O00117,P034,3,97.19,0.00
O00118,P023,3,124.27,0.05
O00118,P057,5,6.61,0.00
O00118,P029,2,61.34,0.10
O00118,P042,3,56.81,0.00
O00119,P024,5,180.73,0.00
O00119,P043,2,106.57,0.00
O00120,P031,4,122.35,0.10
O00121,P042,4,10.49,0.00
O00121,P009,5,150.12,0.00
O00122,P058,5,40.97,0.00
O00123,P060,2,131.57,0.05
O00123,P039,5,161.21,0.15
O00123,,3,237.07,0.00
O00124,P039,4,217.48,0.00
O00124,P015,4,152.20,0.20
O00124,P038,2,157.68,0.10
O00124,P017,2,182.42,0.00
O00125,P039,5,21.86,0.05
O00125,P025,2,31.59,0.00
O00125,P034,5,172.66,0.20
O00125,P010,5,28.58,0.05
O00126,P057,5,128.31,0.00
O00127,P031,2,225.98,0.10
O00128,P058,4,132.89,1.50
O00129,P045,5,110.08,0.20
O00130,P051,4,90.87,0.20
O00130,P048,5,28.93,0.00
O00130,P017,4,192.63,0.20
O00130,P006,3,151.57,0.10
O00131,P017,2,6.33,0.15
O00131,P051,1,146.60,0.00
O00131,P034,1,96.87,0.00
O00131,P045,3,105.16,0.00
O00132,P028,5,67.13,0.20
O00132,P035,4,143.33,0.10
O00133,P044,4,189.96,0.05
O00133,P036,5,123.19,0.00
O00133,P036,5,123.51,0.00
O00134,P050,4,185.26,0.20
O00134,P056,1,188.20,0.05
O00134,P051,2,29.56,0.10
O00135,P051,3,201.20,0.10
O00135,P045,1,44.37,0.15
O00135,P001,1,206.69,0.05
O00135,P060,5,111.66,0.00
O00136,P015,3,24.60,0.00
O00136,P047,4,233.01,0.05
O00136,P040,5,75.17,0.10
O00137,P050,2,161.86,0.05
O00138,P013,5,75.06,0.00
O00139,P040,2,170.13,0.00
O00139,P016,1,244.02,0.00
O00140,P050,4,91.51,0.05
O00140,P026,5,54.07,0.00
O00140,P048,1,230.19,0.10
O00141,P047,5,229.17,0.00
O00141,P023,3,60.43,0.00
O00141,P030,4,145.84,0.00
O00142,P027,5,31.07,0.00
O00142,P033,3,88.28,0.00
O00143,P999,5,204.21,0.10
O00143,P017,4,241.67,0.10
O00143,P031,2,190.57,0.20
O00144,P044,4,224.64,0.20
O00144,P002,4,33.48,0.00
O00144,P025,2,170.83,0.00
O00144,P052,3,106.03,0.00
O00145,P045,3,65.81,0.00
O00146,P044,3,23.62,0.00
O00146,P031,3,91.61,0.10
O00146,P018,2,237.03,0.15
O00146,P060,2,127.24,0.00
O00147,P048,2,218.81,0.00
O00147,P015,2,209.55,0.20
O00148,P010,1,34.36,0.00
O00148,P044,4,155.38,0.20
O00148,P055,5,239.70,0.20
O00149,P024,5,82.27,0.10
O00149,P056,3,125.24,0.20
O00149,P059,5,73.66,0.00
O00149,P049,5,36.41,0.10
O00150,P031,5,12.97,0.00
O00150,P026,2,117.00,0.00
O00150,P045,5,117.71,0.15
O00150,P001,1,170.15,0.05
O00151,P021,3,155.12,0.00
O00152,P036,3,63.09,0.05
O00152,P040,3,94.64,0.05
O00153,P014,4,176.66,0.00
O00153,P024,4,73.50,0.00
O00153,P037,2,244.91,0.15
O00153,P015,1,181.59,0.20
O00154,P036,4,214.79,0.00
O00154,P010,2,120.87,0.00
O00155,P027,4,37.94,0.20
O00155,P041,5,135.82,0.00
O00156,P020,3,142.71,0.10
O00156,P004,4,29.24,0.00
O00156,P004,2,204.38,0.05
O00156,P054,1,115.20,0.00
O00157,P024,3,142.28,0.20
O00157,P017,3,9.85,0.00
O00157,P023,5,53.73,0.10
O00158,P050,3,91.99,0.15
O00158,P033,4,194.80,0.05
O00159,P025,5,75.19,0.15
O00160,P056,2,161.93,0.00
O00160,P027,5,145.04,0.20
O00161,P006,2,89.18,0.00
O00162,,3,179.05,0.10
O00162,P042,4,71.45,0.05
O00162,P050,3,188.22,0.10
O00163,P027,2,50.04,0.00
O00163,P009,2,167.19,0.15
O00163,P045,0,56.58,0.05
O00163,P007,1,20.62,0.05
O00164,P002,4,133.37,0.00
O00165,P017,5,43.03,0.15
O00166,P020,2,65.60,0.00
O00166,P029,2,37.15,0.20
O00166,P011,1,13.60,0.00
O00166,P056,3,216.73,0.05
O00167,P036,4,38.09,0.15
O00167,P035,2,149.74,0.05
O00167,P041,5,111.56,0.15
O00168,P059,3,122.99,0.00
O00168,P052,1,113.25,0.00
O00168,P027,3,43.14,0.00
O00169,P034,2,89.24,0.05
O00170,P045,4,236.99,0.05
O00171,P001,4,200.49,0.10
O00171,P015,1,139.30,0.00
O00171,P027,5,112.08,0.00
O00172,P046,4,207.95,0.00
O00172,P017,1,108.44,0.00
O00173,P019,5,203.15,0.05
O00173,P013,1,49.68,0.00
O00173,P008,4,156.33,0.00
O00174,P013,3,9.74,0.00
O00174,P035,1,50.54,0.00
O00174,P019,3,35.62,0.05
O00174,P047,1,62.03,0.00
O00175,P032,2,88.76,0.00
O00176,P024,4,175.74,0.00
O00176,P022,1,211.66,0.00
O00176,P004,3,195.02,0.00
O00176,P035,4,49.48,0.20
O00177,P053,4,207.91,0.00
O00177,P050,2,99.27,0.05
O00177,P016,1,53.79,0.15
O00178,P034,2,120.83,0.15
O00179,P060,3,43.85,0.15
O00179,P003,5,132.62,0.00
O00179,P031,3,53.68,0.00
O00180,P008,2,160.05,0.00
O00180,P001,2,199.62,0.10
O00181,P026,2,7.18,0.00
O00182,P045,5,42.96,0.20
O00182,P006,2,43.63,0.00
O00182,P044,5,87.90,0.20
O00182,P041,1,19.63,0.15
O00183,P045,5,198.90,0.00
O00183,P032,2,82.59,0.10
O00184,P052,4,184.62,0.00
O00184,P045,4,92.74,0.00
O00184,P017,1,123.89,0.05
O00185,P035,4,51.49,0.00
O00185,P035,3,84.29,0.05
O00185,P018,5,229.04,0.10
O00186,P005,5,42.97,0.00
O00186,P053,3,137.68,0.05
O00187,P050,5,97.86,0.00
O00188,P040,3,195.11,0.00
O00189,P999,1,166.27,0.10
O00189,P053,4,51.51,1.50
O00189,P032,5,42.75,0.00
O00190,P027,3,32.05,0.10
O00190,P043,1,15.72,0.00
O00190,P012,1,54.50,0.05
O00191,P007,1,144.89,0.20
O00191,P025,4,133.82,0.15
O00192,P004,3,59.07,0.15
O00192,P005,1,232.89,0.00
O00192,P042,4,232.45,0.20
O00193,P030,1,93.42,0.15
O00194,P053,3,199.58,0.00
O00194,P053,5,70.11,0.00
O00194,P047,1,209.43,0.00
O00194,P014,5,28.78,0.15
O00195,P035,4,51.41,0.10
O00195,P043,2,144.65,0.00
O00196,P048,1,192.73,0.10
O00196,P023,4,177.11,0.05
O00196,P057,1,45.86,0.00
O00196,P036,4,128.64,0.15
O00197,P035,5,113.53,0.00
O00197,P058,3,139.76,0.00
O00198,P027,4,207.40,0.00
O00198,P039,2,142.96,0.00
O00198,P025,5,231.90,0.00
O00199,P029,4,240.15,0.00
O00199,P047,1,245.81,0.10
O00199,P002,5,38.09,0.00
O00200,P020,2,57.62,0.00
O00201,P050,3,230.17,0.10
O00202,P007,1,117.78,0.00
O00202,,3,94.93,0.10
O00203,P015,3,203.70,0.00
O00203,P037,4,144.41,0.00
O00204,P047,3,199.25,0.00
O00205,P053,5,205.77,0.00
O00205,P039,3,14.15,0.20
O00205,P037,4,24.22,0.00
O00205,P059,3,90.23,0.20
O00206,P027,1,218.09,0.00
O00206,P048,5,232.51,0.15
O00206,P050,4,18.25,0.10
O00206,P003,3,137.27,0.00
O00207,P033,2,42.52,0.15
O00207,P047,4,242.89,0.20
O00207,P039,5,128.65,0.00
O00208,P019,4,41.25,0.00
O00208,P006,4,144.99,0.00
O00208,P036,4,69.32,0.05
O00208,P033,4,194.58,0.00
O00209,P031,5,53.53,0.05
O00209,P042,5,53.03,0.10
O00210,P016,1,70.22,0.05
O00210,P021,5,26.94,0.15
O00211,P028,3,90.33,0.00
O00211,P023,5,165.57,0.20
O00211,P020,2,246.96,0.10
O00211,P053,4,157.67,0.05
O00212,P060,2,53.91,0.00
O00213,P049,1,32.52,0.00
O00213,P016,5,232.04,0.20
O00214,P001,3,174.97,0.00
O00214,P020,4,120.43,0.00
O00214,P014,5,56.90,0.10
O00215,P036,4,157.64,0.00
O00215,P045,1,97.26,0.15
O00215,P034,1,67.58,0.00
O00216,P013,5,71.45,0.05
O00216,P042,1,21.31,0.15
O00216,P018,3,216.74,0.00
O00217,P056,0,61.63,0.05
O00217,P033,1,226.44,0.05
O00217,P056,5,135.22,0.00
O00218,P033,4,142.36,0.15
O00218,P002,1,65.60,0.10
O00219,P022,4,101.37,0.00
O00219,P002,3,172.65,0.00
O00219,P041,3,62.86,0.10
O00220,P052,1,158.31,0.05
O00220,P057,1,236.30,0.00
O00220,P015,2,88.73,0.05
O00221,P006,4,132.57,0.15
O00221,P040,2,107.24,0.10
O00222,P028,3,227.88,0.00
O00222,P029,5,37.27,0.15
O00223,P038,5,172.58,0.00
O00223,P056,2,80.69,0.15
O00224,P028,2,165.77,0.10
O00224,P059,2,82.78,0.10
O00225,P012,3,210.67,0.00
O00226,P049,3,220.62,0.05
O00227,P020,4,187.66,0.20
O00227,P058,3,42.22,0.00
O00227,P007,2,50.25,0.20
O00227,P040,5,70.37,0.10
O00228,P039,2,61.56,0.00
O00228,P023,1,173.58,0.05
O00229,P033,5,119.84,0.15
O00229,P024,2,213.76,0.05
O00230,P009,2,52.34,0.00
O00230,P027,1,231.72,0.05
O00230,P015,2,190.65,0.00
O00230,P012,4,217.44,0.05
O00231,P056,4,222.45,0.05
O00231,P026,1,153.93,0.20
O00231,P025,3,101.56,0.15
O00232,P034,1,115.63,0.20
O00233,P057,2,132.07,0.05
O00234,P036,4,131.44,0.15
O00235,P013,3,112.68,0.00
O00236,P030,2,108.49,0.10
O00236,P999,1,174.03,0.00
O00236,P030,4,27.15,0.10
O00237,P012,5,234.76,0.15
O00238,P026,4,84.24,0.00
O00238,P012,4,149.62,0.15
O00239,P057,4,27.08,0.00
O00239,P045,2,180.99,0.00
O00240,P008,4,160.34,0.00
O00241,P047,5,154.95,0.00
O00241,P025,5,98.24,0.20
O00241,P011,3,143.54,0.15
O00241,P056,2,44.71,0.00
O00242,P050,1,107.79,0.00
O00242,P047,4,75.74,0.00
O00243,P058,2,240.30,0.00
O00244,P001,4,126.91,0.05
O00244,P035,1,153.95,0.05
O00244,,2,149.26,0.05
O00245,P027,4,24.44,0.10
O00245,P001,2,221.12,0.00
O00245,P040,5,205.92,0.00
O00245,P004,2,41.31,0.15
O00246,P003,2,214.18,0.15
O00246,P037,5,78.11,0.00
O00246,P004,1,107.14,0.00
O00247,P044,3,154.71,0.15
O00247,P045,5,145.20,0.10
O00248,P030,5,93.24,0.00
O00248,P006,3,84.08,0.05
O00249,P049,4,211.60,0.00
O00250,P031,2,34.89,0.20
O00250,P018,3,134.12,0.10
O00250,P014,2,154.94,0.00
O00251,P031,5,233.79,0.15
O00252,P028,5,212.70,0.00
O00252,P034,5,248.77,0.00
O00252,P060,2,155.49,0.05
O00253,P032,2,221.49,0.00
O00253,P046,3,244.91,0.00
O00253,P008,1,118.89,1.50
O00253,P008,2,200.88,0.05
O00254,P003,3,90.65,0.20
O00254,P041,2,7.76,0.00
O00254,P045,3,67.32,0.00
O00254,P020,3,129.13,0.00
O00255,P008,3,88.62,0.15
O00256,P054,2,52.52,0.20
O00257,P060,4,229.45,0.20
O00257,P003,2,122.96,0.15
O00257,P030,5,224.49,0.05
O00258,P060,1,209.59,0.00
O00258,P037,3,141.01,0.00
O00258,P014,5,172.94,0.20
O00258,P059,3,21.21,0.00
O00259,P054,1,88.08,0.05
O00259,P041,5,211.38,0.10
O00259,P039,4,50.90,0.00
O00260,P046,3,178.90,0.00
O00260,P027,1,126.77,0.00
O00260,P024,4,208.21,0.00
O00261,P034,3,47.87,0.00
O00261,P051,1,195.55,0.00
O00262,P033,1,200.75,0.10
O00262,P010,2,88.32,0.05
O00262,P047,5,81.03,0.00
O00262,P010,1,206.41,0.10
O00263,P014,1,117.54,0.15
O00263,P056,5,33.37,0.00
O00264,P044,5,218.60,0.00
O00265,P057,1,30.25,0.20
O00265,P043,3,10.50,0.20
O00265,P020,2,83.61,0.00
O00265,P019,3,135.40,0.20
O00266,P043,1,71.79,0.00
O00266,P018,1,8.73,0.10
O00266,P036,5,30.07,0.10
O00266,P023,5,83.02,0.00
O00267,P037,2,46.95,0.00
O00267,P040,3,137.43,0.00
O00267,P009,1,120.32,0.15
O00268,P007,4,18.17,0.05
O00269,P012,5,223.35,0.15
O00269,P054,4,155.99,0.00
O00269,P022,2,179.65,0.15
O00269,P052,5,24.23,0.20
O00270,P037,2,27.75,0.20
O00270,P059,4,28.82,0.00
O00270,P044,4,120.27,0.00
O00270,P010,5,68.21,0.00
O00271,P012,3,198.24,0.00
O00271,P030,0,12.40,0.05
O00271,P008,3,122.26,0.20
O00271,P011,3,193.14,0.10
O00272,P033,1,104.38,0.15
O00272,P051,1,84.83,0.15
O00273,P051,3,135.51,0.05
O00274,P016,5,64.69,0.00
O00274,P031,4,21.17,0.00
O00274,P053,5,110.62,0.05
O00274,P037,3,138.40,0.00
O00275,P043,1,186.13,0.15
O00275,P037,4,33.00,0.10
O00276,P021,5,28.92,0.05
O00276,P012,3,239.18,0.00
O00276,P039,1,172.94,0.10
O00276,P050,4,85.21,0.15
O00277,P006,2,205.16,0.10
O00278,P049,2,166.91,0.05
O00279,P025,5,146.58,0.00
O00279,P014,3,78.43,0.20
O00279,P059,3,230.02,0.05
O00280,P006,5,6.98,0.10
O00280,P026,2,213.85,0.00
O00280,P999,5,242.13,0.00
O00281,,3,217.08,0.00
O00281,P028,5,101.59,0.00
O00281,P046,4,104.47,0.05
O00282,P043,2,121.33,0.00
O00282,P036,4,211.61,0.00
O00283,P010,3,249.37,0.15
O00283,P009,2,7.83,0.15
O00283,P002,2,181.72,0.05
O00283,P043,4,243.86,0.00
O00284,P009,4,215.73,0.20
O00285,P040,2,116.32,0.05
O00285,P036,4,99.25,0.00
O00285,P012,4,153.11,0.10
O00285,P032,2,179.46,0.00
O00286,P060,5,146.20,0.00
O00286,P003,5,123.39,0.00
O00286,P008,5,122.97,0.15
O00286,P006,2,183.89,0.10
O00287,P030,5,24.16,0.10
O00287,P006,2,120.74,0.15
O00287,P043,1,172.59,0.10
O00288,P040,1,226.37,0.10
O00288,P050,1,119.86,0.10
O00288,P058,4,145.61,0.00
O00289,P023,3,75.85,0.00
O00289,P045,5,188.60,0.15
O00289,P051,5,68.80,0.15
O00289,P031,5,46.41,0.00
O00290,P052,5,11.68,0.05
O00290,P006,2,128.86,0.20
O00290,P051,3,66.74,0.10
O00291,P018,3,8.47,0.00
O00291,P039,2,227.97,0.15
O00291,P010,4,95.58,0.00
O00292,P051,2,123.80,0.20
O00292,P034,1,88.99,0.00
O00292,P010,5,233.81,0.00
O00293,P049,4,193.73,0.00
O00293,P043,4,182.86,0.00
O00293,P014,5,184.91,0.00
O00293,P004,3,190.08,0.00
O00294,P011,4,102.68,0.00
O00295,P048,5,62.24,0.15
O00295,P046,4,121.26,0.00
O00295,P034,4,7.90,0.20
O00295,P029,4,171.22,0.10
O00296,P007,5,161.16,0.20
O00297,P040,3,87.06,0.00
O00297,P052,1,67.55,0.10
O00297,P026,4,194.41,0.15
O00297,P016,5,193.76,0.10
O00298,P044,2,81.74,0.00
O00298,P044,1,208.75,0.00
O00298,P027,1,133.68,0.15
O00299,P023,2,182.68,0.00
O00299,P013,1,10.80,0.00
O00299,P004,5,165.86,0.20
O00299,P014,5,161.32,0.15
O00300,P006,5,36.82,0.15
O00301,P058,1,175.43,0.00
O00301,P019,4,166.81,0.00
O00302,P060,3,193.48,0.15
O00302,P058,3,68.04,0.20
O00302,P005,3,195.38,0.05
O00302,P025,3,249.00,0.00
O00303,P012,4,21.99,0.00
O00303,P040,4,48.71,0.05
O00303,P007,2,137.44,0.05
O00304,P040,1,228.58,0.15
O00304,P017,1,13.53,0.00
O00305,P050,4,9.59,0.05
O00305,P010,1,233.55,0.15
O00305,P025,3,42.13,0.00
O00306,P037,1,131.26,0.20
O00306,P032,4,111.82,0.20
O00306,P047,1,137.32,0.00
O00306,P025,4,34.68,1.50
O00307,P022,3,103.14,0.15
O00307,P042,1,94.50,0.20
O00307,P022,1,211.08,0.20
O00308,P042,2,48.26,0.00
O00308,P025,2,78.21,0.05
O00308,P058,1,159.49,0.00
O00309,P006,4,185.14,0.00
O00309,P003,2,11.20,0.10
O00309,P016,4,100.24,0.20
O00309,P035,3,127.41,0.20
O00310,P002,1,88.11,0.00
O00310,P051,1,104.34,0.00
O00310,P052,5,117.29,0.15
O00310,P056,5,41.48,0.10
O00311,P060,1,14.03,0.00
O00311,P032,1,120.44,0.10
O00312,P016,2,8.51,0.15
O00313,P058,3,206.07,0.00
O00314,P040,2,209.65,0.00
O00314,P053,1,32.96,0.10
O00314,,5,59.03,0.20
O00314,P013,4,87.64,0.20
O00315,P021,1,244.07,0.10
O00315,P035,2,83.78,0.20
O00315,P014,1,150.30,0.00
O00315,P005,1,72.09,0.20
O00316,P011,3,140.57,0.05
O00316,P016,5,14.96,0.00
O00316,P051,5,97.14,0.00
O00316,P002,4,24.77,0.00
O00317,P060,0,178.14,0.10
O00317,P057,3,106.96,0.20
O00318,P045,2,55.50,0.15
O00318,P018,5,115.34,0.00
O00318,P012,5,174.45,0.10
O00318,P999,4,154.94,0.00
O00319,P023,4,6.11,0.00
O00319,P013,1,246.71,0.00
O00319,P040,3,216.36,0.10
O00320,P030,2,72.71,0.00
O00320,P008,2,172.87,0.05
O00321,P012,2,169.17,0.00
O00321,P004,3,74.83,0.05
O00321,P017,3,156.11,0.20
O00321,P030,1,30.57,0.00
O00322,P011,1,123.83,0.00
O00322,P005,2,181.73,0.10
O00323,P027,2,188.03,0.00
O00323,P015,1,84.89,0.00
O00323,P016,4,218.11,0.05
O00324,P005,4,148.34,0.00
O00324,P057,4,40.50,0.10
O00325,P012,4,96.49,0.05
O00325,P047,2,159.84,0.00
O00325,P013,3,36.16,0.15
O00325,P037,1,73.74,0.00
O00326,P030,4,46.93,0.00
O00326,P015,3,152.88,0.20
O00326,P051,5,226.86,0.10
O00326,P036,2,26.18,0.20
O00327,P056,2,149.93,0.20
O00327,P030,3,8.54,0.05
O00327,P048,2,65.71,0.05
O00327,P038,2,223.49,0.10
O00328,P059,5,225.06,0.05
O00328,P003,1,247.85,0.15
O00329,P028,5,101.60,0.20
