OrderId,CustomerId,OrderDate,Status,Channel
O00093,C0202,2024-04-12 04:00:00,paid,marketplace
O00094,C0234,2024-09-28 16:00:00,pending,web
O00095,C0234,2024-03-25 08:00:00,cancelled,app
O00096,C0223,2024-05-31 23:00:00,cancelled,web
O00097,C0247,2024-02-28 14:00:00,cancelled,app
O00098,C0221,2024-03-13 07:00:00,paid,store
O00099,C0024,2024-10-12 11:00:00,paid,WEB
O00100,C0138,2024-01-08 08:00:00,paid,App
O00101,C0173,2024-08-20 11:00:00,paid,marketplace
O00102,C0211,2024-10-26 12:00:00,paid,web
O00103,C0060,2024-02-25 21:00:00,pending,app
O00104,C0227,2024-01-13 19:00:00,pending,web
O00105,C0166,2024-11-08 07:00:00,paid,app
O00106,C0233,2024-11-21 14:00:00,cancelled,store
O00107,C0030,2024-11-28 13:00:00,cancelled,WEB
O00108,C0078,2024-01-24 01:00:00,paid,App
O00109,C0061,2024-02-29 03:00:00,paid,marketplace
O00110,C0095,2024-07-17 14:00:00,paid,web
O00111,C0187,2024-10-27 23:00:00,paid,app
O00112,C0026,2024-07-31 20:00:00,paid,web
O00113,C0241,2024-11-11 13:00:00,paid,app
O00114,C0095,2024-01-17 22:00:00,paid,store
O00115,C0244,2024-08-15 14:00:00,pending,WEB
O00116,C0176,2024-07-04 03:00:00,cancelled,App
O00117,C0092,2024-10-05 20:00:00,cancelled,marketplace
O00118,C0049,2024-07-22 08:00:00,cancelled,web
O00119,C0170,2024-08-20 02:00:00,paid,app
O00120,C0153,2024-11-24 20:00:00,paid,web
O00121,C0063,2024-01-26 10:00:00,paid,app
O00122,C0018,2024-10-16 06:00:00,paid,store
O00123,C0209,2024-10-27 06:00:00,paid,WEB
O00124,C0202,2024-06-17 04:00:00,paid,App
O00125,C0034,2024-05-21 04:00:00,cancelled,marketplace
O00126,C0170,2024-03-30 03:00:00,pending,web
O00127,C0092,2024-03-08 00:00:00,cancelled,app
O00128,C0005,2024-10-28 10:00:00,refunded,web
O00129,C0033,2024-05-15 01:00:00,paid,app
O00130,C0191,2024-09-26 03:00:00,paid,store
O00131,C0200,2024-08-31 14:00:00,paid,WEB
O00132,C0028,2024-09-19 18:00:00,paid,App
O00133,C0243,2024-09-14 07:00:00,paid,marketplace
O00134,C0078,2024-12-03 16:00:00,cancelled,web
O00135,C0016,2024-11-25 00:00:00,cancelled,app
O00136,C0176,2024-07-24 13:00:00,pending,web
O00137,C0233,2024-09-08 22:00:00,paid,app
O00138,C0083,2024-02-07 02:00:00,refunded,store
O00139,C0071,2024-02-03 04:00:00,paid,WEB
O00140,C0136,2024-07-14 19:00:00,paid,App
O00141,C0155,2024-08-20 16:00:00,paid,marketplace
O00142,C0030,2024-02-20 22:00:00,paid,web
O00143,C0228,2024-08-08 14:00:00,paid,app
O00144,C0212,2024-07-30 10:00:00,cancelled,web
O00145,C0187,2024-07-23 13:00:00,paid,app
O00146,C0081,2024-06-09 13:00:00,cancelled,store
O00147,C0176,2024-07-10 04:00:00,paid,WEB
O00148,C0213,2024-02-04 02:00:00,cancelled,App
O00149,C0025,2024-02-17 13:00:00,paid,marketplace
O00150,C0016,2024-03-07 17:00:00,paid,web
O00151,C0106,2024-12-09 03:00:00,paid,app
O00152,C0223,2024-12-06 13:00:00,paid,web
O00153,C0080,2024-05-27 19:00:00,paid,app
O00154,C0130,2024-02-23 18:00:00,paid,store
O00155,C0124,2024-03-20 21:00:00,pending,WEB
O00156,C0217,2024-02-25 11:00:00,cancelled,App
O00157,C0147,2024-02-28 08:00:00,cancelled,marketplace
O00158,C0250,2024-08-07 17:00:00,cancelled,web
O00159,C0213,2024-11-07 21:00:00,paid,app
O00160,C0070,2024-01-15 05:00:00,paid,web
O00161,C0002,2024-06-22 11:00:00,paid,app
O00162,C0169,2024-03-14 18:00:00,paid,store
O00163,C0190,2024-02-05 04:00:00,paid,WEB
O00164,C0136,2024-02-16 23:00:00,paid,App
O00165,C0117,2024-07-11 13:00:00,cancelled,marketplace
O00166,C0080,2024-03-21 11:00:00,cancelled,web
O00167,C0022,2024-10-17 19:00:00,cancelled,app
O00168,C0194,2024-03-20 05:00:00,cancelled,web
O00169,C0070,2024-12-11 02:00:00,paid,app
O00170,C0125,2024-12-04 13:00:00,paid,store
O00171,C0056,2024-07-31 08:00:00,paid,WEB
O00172,C0029,2024-06-25 13:00:00,paid,App
O00173,C0152,2024-12-13 21:00:00,pending,marketplace
O00174,C0079,2024-09-26 21:00:00,paid,web
O00175,C0154,2024-04-22 12:00:00,paid,app
O00176,C0078,2024-01-04 06:00:00,cancelled,web
O00177,C0075,2024-03-11 08:00:00,refunded,app
O00178,C0128,2024-03-02 00:00:00,paid,store
O00179,C0098,2024-03-30 04:00:00,paid,WEB
O00180,C0214,2024-09-13 17:00:00,paid,App
O00181,C0221,2024-02-06 12:00:00,paid,marketplace
O00182,C0118,2024-08-11 00:00:00,paid,web
O00183,C0110,2024-06-09 18:00:00,pending,app
O00184,C0107,2024-12-29 20:00:00,pending,web
O00185,C0006,2024-02-28 12:00:00,cancelled,app
O00186,C0118,2024-03-28 19:00:00,cancelled,store
O00187,C0217,2024-02-15 13:00:00,cancelled,WEB
O00188,C0151,2024-05-04 13:00:00,paid,App
O00189,C0102,2024-09-25 02:00:00,paid,marketplace
O00190,C0086,2024-06-22 07:00:00,paid,web
O00191,C0163,2024-02-09 16:00:00,paid,app
O00192,C0050,2024-09-28 16:00:00,paid,web
O00193,C0246,2024-06-28 23:00:00,paid,app
O00194,C0038,2024-04-30 03:00:00,pending,store
O00195,C0155,2024-04-11 05:00:00,pending,WEB
O00196,C0046,2024-12-01 02:00:00,refunded,App
O00197,C0195,2024-08-25 18:00:00,paid,marketplace
O00198,C0165,2024-12-14 18:00:00,paid,web
O00199,C0039,2024-11-17 10:00:00,paid,app
O00200,C0114,2024-02-04 15:00:00,paid,web
O00201,C0015,2024-05-20 18:00:00,paid,app
O00202,C0080,2024-09-16 02:00:00,paid,store
O00203,C0015,2024-08-19 01:00:00,paid,WEB
O00204,C0166,2024-05-26 02:00:00,paid,App
O00205,C0130,2024-11-10 19:00:00,cancelled,marketplace
O00206,C0142,2024-08-24 18:00:00,pending,web
O00207,C0167,2024-08-18 18:00:00,cancelled,app
O00208,C0122,2024-06-13 19:00:00,refunded,web
O00209,C0027,2024-02-01 14:00:00,paid,app
O00210,C0166,2024-02-13 16:00:00,paid,store
O00211,C0182,2024-01-21 07:00:00,paid,WEB
O00212,C0134,2024-08-12 16:00:00,paid,App
O00213,C0235,2024-07-05 11:00:00,paid,marketplace
O00214,C0199,2024-07-17 13:00:00,pending,web
O00215,C0014,2024-12-13 19:00:00,cancelled,app
O00216,C0025,2024-02-03 10:00:00,refunded,web
O00217,C0186,2024-05-25 08:00:00,cancelled,app
O00218,C0150,2024-06-19 02:00:00,refunded,store
O00219,C0248,2024-06-28 09:00:00,paid,WEB
O00220,C0182,2024-03-07 19:00:00,paid,App
O00221,C0097,2024-06-07 17:00:00,paid,marketplace
O00222,C0180,2024-03-06 21:00:00,paid,web
O00223,C0109,2024-11-26 21:00:00,paid,app
O00224,C0080,2024-01-10 11:00:00,paid,web
O00225,C0243,2024-04-19 10:00:00,cancelled,app
O00226,C0036,2024-04-08 07:00:00,cancelled,store
O00227,C0217,2024-02-09 09:00:00,cancelled,WEB
O00228,C0214,2024-09-16 17:00:00,cancelled,App
O00229,C0225,2024-12-04 10:00:00,paid,marketplace
O00230,C0040,2024-11-01 12:00:00,paid,web
O00231,C0198,2024-04-02 22:00:00,paid,app
O00232,C0106,2024-08-12 01:00:00,paid,web
O00233,C0061,2024-12-12 23:00:00,pending,app
O00234,C0193,2024-11-08 09:00:00,cancelled,store
O00235,C0062,2024-04-29 17:00:00,cancelled,WEB
O00236,C0095,2024-08-28 06:00:00,refunded,App
O00237,C0200,2024-08-24 09:00:00,paid,marketplace
O00238,C0108,2024-09-14 16:00:00,refunded,web
O00239,C0036,2024-04-12 19:00:00,paid,app
O00240,C0124,2024-01-27 20:00:00,paid,web
O00241,C0183,2024-10-10 03:00:00,paid,app
O00242,C0196,2024-05-25 02:00:00,paid,store
O00243,C0232,2024-05-19 14:00:00,paid,WEB
O00244,C0243,2024-08-11 02:00:00,paid,App
O00245,C0239,2024-08-18 11:00:00,paid,marketplace
O00246,C0102,2024-07-31 01:00:00,cancelled,web
O00247,C0021,2024-04-30 12:00:00,refunded,app
O00248,C0082,2024-04-24 00:00:00,cancelled,web
O00249,C0203,2024-11-28 10:00:00,paid,app
O00250,C0074,2024-03-11 01:00:00,paid,store
O00251,C0195,2024-12-22 04:00:00,paid,WEB
O00252,C0002,2024-08-17 19:00:00,paid,App
O00253,C0056,2024-01-10 08:00:00,paid,marketplace
O00254,C0156,2024-10-07 23:00:00,cancelled,web
O00255,C0061,2024-02-26 09:00:00,cancelled,app
O00256,C0062,2024-03-03 01:00:00,refunded,web
O00257,C0118,2024-11-23 19:00:00,cancelled,app
O00258,C0153,2024-02-26 15:00:00,cancelled,store
O00259,C0148,2024-11-19 16:00:00,paid,WEB
O00260,C0110,2024-03-14 09:00:00,paid,App
O00261,C0062,2024-11-10 11:00:00,paid,marketplace
O00262,C0172,2024-04-05 21:00:00,paid,web
O00263,C0018,2024-09-25 11:00:00,paid,app
O00264,C0012,2024-07-18 15:00:00,cancelled,web
O00265,C0192,2024-07-10 08:00:00,paid,app
O00266,C0089,2024-07-01 02:00:00,cancelled,store
O00267,C0027,2024-12-02 20:00:00,refunded,WEB
O00268,C0091,2024-03-09 01:00:00,paid,App
O00269,C0213,2024-11-25 05:00:00,paid,marketplace
O00270,C0162,2024-12-22 15:00:00,paid,web
O00271,C0184,2024-03-10 02:00:00,paid,app
O00272,C0052,2024-01-19 09:00:00,paid,web
O00273,C0081,2024-04-12 01:00:00,paid,app
O00274,C0209,2024-09-20 12:00:00,cancelled,store
O00275,C0193,2024-05-09 01:00:00,pending,WEB
O00276,C0221,2024-05-26 11:00:00,pending,App
O00277,C0070,2024-12-01 10:00:00,cancelled,marketplace
O00278,C0228,2024-07-07 13:00:00,paid,web
O00279,C0087,2024-08-13 12:00:00,paid,app
O00280,C0128,2024-09-11 22:00:00,paid,web
O00281,C0206,2024-09-22 08:00:00,paid,app
O00282,C0111,2024-08-05 02:00:00,paid,store
O00283,C0083,2024-10-06 09:00:00,paid,WEB
O00284,C0170,2024-02-10 10:00:00,pending,App
O00285,C0155,2024-06-05 14:00:00,cancelled,marketplace
O00286,C0114,2024-03-26 22:00:00,cancelled,web
O00287,C0187,2024-08-16 01:00:00,refunded,app
O00288,C0071,2024-11-10 13:00:00,cancelled,web
O00289,C0164,2024-02-08 21:00:00,paid,app
O00290,C0206,2024-07-05 16:00:00,paid,store
O00291,C0218,2024-01-16 04:00:00,paid,WEB
O00292,C0018,2024-01-18 04:00:00,paid,App
O00293,C0093,2024-11-26 11:00:00,pending,marketplace
O00294,C0155,2024-10-17 01:00:00,paid,web
O00295,C0243,2024-12-13 14:00:00,cancelled,app
O00296,C0196,2024-07-09 14:00:00,pending,web
O00297,C0136,2024-10-20 04:00:00,refunded,app
O00298,C0167,2024-07-22 10:00:00,paid,store
O00299,C0007,2024-05-07 03:00:00,paid,WEB
O00300,C0100,2024-09-12 16:00:00,paid,App
O00301,C0181,2024-05-14 08:00:00,paid,marketplace
O00302,C0074,2024-04-19 19:00:00,paid,web
O00303,C0035,2024-04-12 03:00:00,paid,app
O00304,C0231,2024-08-19 05:00:00,cancelled,web
O00305,C0248,2024-02-14 21:00:00,cancelled,app
O00306,C0182,2024-12-07 11:00:00,pending,store
O00307,C0075,2024-10-08 17:00:00,refunded,WEB
O00308,C0182,2024-03-21 22:00:00,refunded,App
O00309,C0058,2024-07-04 16:00:00,refunded,marketplace
O00310,C0061,2024-04-12 04:00:00,paid,web
O00311,C0142,2024-01-14 11:00:00,paid,app
O00312,C0034,2024-08-27 17:00:00,paid,web
O00313,C0102,2024-02-03 09:00:00,pending,app
O00314,C0197,2024-09-26 13:00:00,cancelled,store
O00315,C0033,2024-10-21 02:00:00,cancelled,WEB
O00316,C0116,2024-11-24 02:00:00,refunded,App
O00317,C0089,2024-12-14 16:00:00,cancelled,marketplace
O00318,C0151,2024-10-09 20:00:00,refunded,web
O00319,C0129,2024-03-07 13:00:00,refunded,app
O00320,C0040,2024-03-04 16:00:00,paid,web
O00321,C0083,2024-03-25 05:00:00,paid,app
O00322,C0230,2024-06-26 16:00:00,paid,store
O00323,C0051,2024-02-10 08:00:00,paid,WEB
O00324,C0078,2024-03-05 20:00:00,paid,App
O00325,C0044,2024-09-14 20:00:00,pending,marketplace
O00326,C0160,2024-03-28 21:00:00,cancelled,web
O00327,C0212,2024-10-15 01:00:00,cancelled,app
O00328,C0243,2024-02-11 01:00:00,paid,web
O00329,C0197,2024-11-29 06:00:00,paid,app
O00330,C0008,2024-11-12 20:00:00,paid,store
O00331,C0075,2024-11-17 17:00:00,paid,WEB
O00332,C0207,2024-09-04 07:00:00,paid,App
O00333,C0019,2024-06-01 14:00:00,paid,marketplace
O00334,C0107,2024-03-21 14:00:00,cancelled,web
O00335,C0088,2024-08-25 06:00:00,pending,app
O00336,C0082,2024-06-09 22:00:00,cancelled,web
O00337,C0195,2024-07-23 04:00:00,refunded,app
O00338,C0028,2024-09-20 17:00:00,paid,store
O00339,C0032,2024-05-03 14:00:00,paid,WEB
O00340,C0037,2024-08-18 07:00:00,paid,App
O00341,C0243,2024-01-26 09:00:00,paid,marketplace
O00342,C0064,2024-11-11 13:00:00,paid,web
O00343,C0185,2024-06-16 18:00:00,paid,app
O00344,C0128,2024-04-07 05:00:00,cancelled,web
O00345,C0128,2024-09-12 09:00:00,paid,app
O00346,C0130,2024-02-16 12:00:00,refunded,store
O00347,C0150,2024-05-03 06:00:00,refunded,WEB
O00348,C0073,2024-01-25 01:00:00,paid,App
O00349,C0173,2024-11-01 20:00:00,paid,marketplace
O00350,C0003,2024-05-26 17:00:00,paid,web
O00351,C0226,2024-08-08 04:00:00,paid,app
O00352,C0094,2024-07-06 12:00:00,paid,web
O00353,C0146,2024-07-24 01:00:00,paid,app
O00354,C0074,2024-07-04 17:00:00,paid,store
O00355,C0116,2024-07-16 16:00:00,cancelled,WEB
O00356,C0157,2024-11-15 21:00:00,pending,App
O00357,C0101,2024-03-06 03:00:00,refunded,marketplace
O00358,C0241,2024-06-22 17:00:00,paid,web
O00359,C0155,2024-03-14 06:00:00,paid,app
O00360,C0012,2024-09-13 01:00:00,paid,web
O00361,C0086,2024-03-11 22:00:00,paid,app
O00362,C0039,2024-09-22 14:00:00,paid,store
O00363,C0082,2024-06-16 19:00:00,paid,WEB
O00364,C0190,2024-07-20 19:00:00,pending,App
O00365,C0130,2024-10-30 10:00:00,cancelled,marketplace
O00366,C0077,2024-12-28 18:00:00,refunded,web
O00367,C0085,2024-01-09 11:00:00,cancelled,app
O00368,C0079,2024-08-01 18:00:00,cancelled,web
O00369,C0068,2024-11-01 15:00:00,paid,app
O00370,C0123,2024-01-27 18:00:00,paid,store
O00371,C0185,2024-09-25 20:00:00,paid,WEB
O00372,C0063,2024-03-16 21:00:00,paid,App
O00373,C0029,2024-10-20 22:00:00,paid,marketplace
O00374,C0081,2024-01-10 14:00:00,cancelled,web
O00375,C0177,2024-03-18 13:00:00,pending,app
O00376,C0199,2024-07-29 16:00:00,refunded,web
O00377,C0036,2024-02-01 22:00:00,cancelled,app
O00378,C0170,2024-10-14 10:00:00,paid,store
O00379,C0081,2024-09-26 12:00:00,paid,WEB
O00380,C0088,2024-08-23 17:00:00,paid,App
O00381,C0175,2024-12-12 23:00:00,paid,marketplace
O00382,C0050,2024-11-08 15:00:00,paid,web
O00383,C0077,2024-05-22 17:00:00,paid,app
O00384,C0181,2024-06-01 09:00:00,paid,web
O00385,C0126,2024-12-19 22:00:00,cancelled,app
O00386,C0144,2024-09-02 11:00:00,cancelled,store
O00387,C0147,2024-05-27 03:00:00,paid,WEB
O00388,C0245,2024-07-21 11:00:00,refunded,App
O00389,C0074,2024-05-28 01:00:00,refunded,marketplace
O00390,C0168,2024-06-26 14:00:00,paid,web
O00391,C0052,2024-09-02 06:00:00,paid,app
O00392,C0070,2024-10-14 22:00:00,paid,web
O00393,C0190,2024-02-25 19:00:00,paid,app
O00394,C0172,2024-05-04 01:00:00,paid,store
O00395,C0014,2024-11-22 07:00:00,paid,WEB
O00396,C0184,2024-07-30 10:00:00,refunded,App
O00397,C0198,2024-02-21 21:00:00,cancelled,marketplace
O00398,C0238,2024-01-03 17:00:00,refunded,web
O00399,C0240,2024-07-27 20:00:00,paid,app
O00400,C0052,2024-09-01 20:00:00,paid,web
O00401,C0166,2024-06-13 09:00:00,paid,app
O00402,C0147,2024-02-15 20:00:00,paid,store
O00403,C0186,2024-09-30 23:00:00,paid,WEB
O00404,C0226,2024-03-30 13:00:00,paid,App
O00405,C0202,2024-01-19 12:00:00,cancelled,marketplace
O00406,C0247,2024-04-05 23:00:00,cancelled,web
O00407,C0077,2024-01-20 00:00:00,cancelled,app
O00408,C0117,2024-06-20 09:00:00,paid,web
O00409,C0120,2024-03-09 16:00:00,paid,app
O00410,C0085,2024-04-08 03:00:00,paid,store
O00411,C0066,2024-08-22 20:00:00,paid,WEB
O00412,C0087,2024-01-08 23:00:00,paid,App
O00413,C0194,2024-10-17 21:00:00,paid,marketplace
O00414,C0220,2024-03-30 19:00:00,cancelled,web
O00415,C0084,2024-08-06 16:00:00,paid,app
O00416,C0025,2024-07-24 21:00:00,cancelled,web
O00417,C0083,2024-03-12 15:00:00,cancelled,app
O00418,C0099,2024-01-04 08:00:00,refunded,store
O00419,C0245,2024-08-16 08:00:00,paid,WEB
O00420,C0186,2024-06-03 18:00:00,paid,App
O00421,C0093,2024-05-13 20:00:00,paid,marketplace
O00422,C0031,2024-02-01 21:00:00,paid,web
O00423,C0104,2024-06-06 05:00:00,paid,app
O00424,C0164,2024-12-19 03:00:00,pending,web
O00425,C0057,2024-07-07 19:00:00,pending,app
O00426,C0040,2024-03-09 15:00:00,refunded,store
O00427,C0107,2024-11-06 11:00:00,paid,WEB
O00428,C0212,2024-10-02 21:00:00,refunded,App
O00429,C0194,2024-05-06 21:00:00,refunded,marketplace
O00430,C0136,2024-09-26 14:00:00,paid,web
O00431,C0029,2024-02-09 18:00:00,paid,app
O00432,C0052,2024-10-07 16:00:00,paid,web
O00433,C0219,2024-03-25 10:00:00,pending,app
O00434,C0053,2024-02-29 21:00:00,cancelled,store
O00435,C0115,2024-02-16 16:00:00,paid,WEB
O00436,C0132,2024-08-20 04:00:00,refunded,App
O00437,C0015,2024-08-21 18:00:00,paid,marketplace
O00438,C0186,2024-12-10 09:00:00,cancelled,web
O00439,C0210,2024-07-21 08:00:00,refunded,app
O00440,C0019,2024-04-21 18:00:00,paid,web
O00441,C0180,2024-08-04 11:00:00,paid,app
O00442,C0240,2024-10-04 01:00:00,paid,store
O00443,C0074,2024-08-29 01:00:00,pending,WEB
O00444,C0197,2024-04-02 04:00:00,cancelled,App
O00445,C0115,2024-07-10 12:00:00,cancelled,marketplace
O00446,C0175,2024-07-11 02:00:00,cancelled,web
O00447,C0031,2024-11-30 11:00:00,cancelled,app
O00448,C0136,2024-10-02 12:00:00,refunded,web
O00449,C0194,2024-04-24 00:00:00,refunded,app
O00450,C0173,2024-06-01 14:00:00,paid,store
O00451,C0211,2024-09-29 12:00:00,paid,WEB
O00452,C0089,2024-05-06 14:00:00,paid,App
O00453,C0240,2024-05-21 06:00:00,paid,marketplace
O00454,C0108,2024-01-17 21:00:00,paid,web
O00455,C0018,2024-05-03 06:00:00,paid,app
O00456,C0115,2024-10-31 01:00:00,pending,web
O00457,C0012,2024-05-05 23:00:00,paid,app
O00458,C0139,2024-08-12 07:00:00,refunded,store
O00459,C0129,2024-01-29 04:00:00,paid,WEB
O00460,C0148,2024-04-29 23:00:00,paid,App
O00461,C0198,2024-10-22 19:00:00,paid,marketplace
O00462,C0225,2024-05-01 09:00:00,paid,web
O00463,C0057,2024-12-04 16:00:00,pending,app
O00464,C0016,2024-06-02 08:00:00,paid,web
O00465,C0110,2024-11-16 21:00:00,cancelled,app
O00466,C0242,2024-01-25 11:00:00,refunded,store
O00467,C0179,2024-09-25 10:00:00,paid,WEB
O00468,C0077,2024-07-28 04:00:00,paid,App
O00469,C0122,2024-04-04 17:00:00,paid,marketplace
O00470,C0220,2024-04-25 09:00:00,paid,web
O00471,C0144,2024-08-25 01:00:00,paid,app
O00472,C0136,2024-08-01 17:00:00,paid,web
O00473,C0066,2024-07-17 07:00:00,paid,app
O00474,C0021,2024-06-18 20:00:00,cancelled,store
O00475,C0138,2024-07-08 02:00:00,pending,WEB
O00476,C0097,2024-01-27 08:00:00,pending,App
O00477,C0206,2024-02-07 06:00:00,cancelled,marketplace
O00478,C0223,2024-09-02 06:00:00,paid,web
O00479,C0055,2024-06-04 00:00:00,paid,app
O00480,C0194,2024-03-01 23:00:00,paid,web
O00481,C0155,2024-05-04 22:00:00,paid,app
O00482,C0142,2024-07-22 07:00:00,paid,store
O00483,C0120,2024-05-24 12:00:00,paid,WEB
O00484,C0093,2024-06-06 08:00:00,cancelled,App
O00485,C0206,2024-08-26 03:00:00,cancelled,marketplace
O00486,C0095,2024-06-12 06:00:00,cancelled,web
O00487,C0145,2024-07-30 01:00:00,cancelled,app
O00488,C0067,2024-03-15 00:00:00,paid,web
O00489,C0051,2024-05-31 04:00:00,paid,app
O00490,C0146,2024-04-27 12:00:00,paid,store
O00491,C0168,2024-09-12 17:00:00,paid,WEB
O00492,C0248,2024-05-11 15:00:00,paid,App
O00493,C0188,2024-08-23 05:00:00,paid,marketplace
O00494,C0185,2024-03-27 04:00:00,cancelled,web
O00495,C0165,2024-04-04 17:00:00,paid,app
O00496,C0215,2024-09-25 01:00:00,pending,web
O00497,C0196,2024-12-08 01:00:00,cancelled,app
O00498,C0216,2024-07-30 04:00:00,refunded,store
O00499,C0039,2024-02-04 22:00:00,refunded,WEB
O00500,C0117,2024-04-21 16:00:00,paid,App
O00501,C0164,2024-01-31 19:00:00,paid,marketplace
O00502,C0005,2024-12-03 15:00:00,paid,web
O00503,C0106,2024-09-29 17:00:00,paid,app
O00504,C0185,2024-01-09 16:00:00,pending,web
O00505,C0005,2024-10-01 09:00:00,cancelled,app
O00506,C0236,2024-04-01 03:00:00,pending,store
O00507,C0062,2024-09-25 04:00:00,cancelled,WEB
O00508,C0065,2024-11-13 16:00:00,paid,App
O00509,C0021,2024-05-16 12:00:00,paid,marketplace
O00510,C0145,2024-07-26 14:00:00,paid,web
O00511,C0077,2024-12-22 07:00:00,paid,app
O00512,C0195,2024-11-30 20:00:00,paid,web
O00513,C0098,2024-02-17 12:00:00,pending,app
O00514,C0015,2024-10-09 15:00:00,paid,store
O00515,C0022,2024-12-25 05:00:00,cancelled,WEB
